parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
device support,tablet,"[""device"", ""phone""]","[""Best thing since the invention of smart devices. I have it on my iphone 13 now installing to Samsung tablet"", ""Not keen on new layout. Keyboard pops up and covers up the translation. May be ok on big tablets but not on phones with limited screen space. Is there a setting I can tweak?"", ""What happened with this google translate??? I had to uninstall 2-5times for day. And then install again to get old stile of Google translate. And now I don't know why my google account is connecting with new version. I HATE IT. So sorry.. how can o get old version of this app? Please tell me. I'm using translate every day. I had thousands nice slang, words, sentences in my history... But now in my phone and tablet (Samsung) google translate is new \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d Help!\ud83d\ude4f\ud83c\udffc Or should I buy iPhone?\ud83d\ude2d""]",Google Translate,2,3,2,Google Translate__cluster_16,t-frex,allmini,balanced,0
finding,searching,"[""looking"", ""digging"", ""finding""]","[""It works very well. No more frantically searching for lost keys ."", ""Best purchase I could ever have made. I lose my remote several times a day. I bought this to be able to locate it quickly and prevent me from searching for it all day. It was so easy to pull up the app and find my remote but now it's even easier because I can just ask Alexa to find it. Great invention, great purchase."", ""Always misplacing my keys. The tile saves me so much searching.""]",Tile,3,4,3,Tile__cluster_26,t-frex,allmini,balanced,0
group messaging,group conversations,"[""group discussion"", ""group messages"", ""group chatting"", ""group calls"", ""group com"", ""contact groups"", ""discussion groups"", ""chat group"", ""conversations""]","[""Teams has a lot of great features. It's a great way to collaborate and be able to go back and easily access historical records. The video chat feature is something we use regularly for one-on-one or group conversations.... As well as company wide meetings""]",Microsoft Teams,9,10,4,Microsoft Teams__cluster_62,t-frex,allmini,balanced,0
list organization,order lists,"[""arranging"", ""sorting""]","[""I really liked this app but it is extremely buggy now. Don't know what happened. Should add option to order lists alphabetically""]",Google Keep - Notes and Lists,2,3,1,Google Keep - Notes and Lists__cluster_78,t-frex,allmini,balanced,0
online shopping,store,"[""shop"", ""mall""]","[""This is the best shopping store ever"", ""Bought an item and since it was being shipped it came later than the days expected,I requested if they can hold it for some days since I was not anywhere near my pickup area..the agent said it's ok only for after a day my order being cancelled without my notification.i felt really bad about that...I guess never getting an order from your stores again"", ""I like the way those discounts kept coming during payment... Thanks jumia... But please your delivery cost is too high... Thanks best online market \ud83d\udc4d Please.. Kindly note that Kano is my location and JUMIA FOOD has not taken effect in Kano even with the presence of Shoprite...Games Store...Chicken Repulblic... KFC... 212 restaurant... & Dominos Pizza companies all available.. Still they're are not present in your App... Please make our life easy too here in Kano... We love you \ud83d\ude0d""]",JUMIA Online Shopping,2,3,2,JUMIA Online Shopping__cluster_12,t-frex,allmini,balanced,0
playback,video player,"[""file player"", ""web player"", ""playback""]","[""Good service with a great supply of music and podcasts. I'd like to see more asian music included in the supply. I've had one very annoying problem with playing downloaded content. Sometimes while I'm working in areas with limited data coverage I like to download music and podcasts in advance to be able to listen to them while offline. Too often I am unable to open the playlists with downloaded content which is a source of great irritation. I'd also like to see an option to disable video players"", ""Terrible. No captions on the desktop player, and if you download the desktop app you can't detach or maximize the video player. Really disrespectful to people who have hearing damage, just want to watch my podcasts and follow along. The general layout is frustrating to navigate and the queue gets knocked out for long, loud and obnoxious continuous ads, no option to watch a 30 second video and get 30 mins uninterrupted to really get going on podcasts. Very dissatisfying. Edit: FIX YOUR VIDEO APP!"", ""The music always skips on the web player, and randomly just stops outputting audio. The video player is horrendous. Apparently, they won't let you post reviews here either if they mention censorship of Podcasters on Spotify. This app makes me miss my cassette player from 20 years ago, which was way more reliable.""]",Spotify: Music and Podcasts,3,4,3,Spotify: Music and Podcasts__cluster_29,t-frex,allmini,balanced,0
healthcare services,family doctor,"[""healthcare"", ""doctor"", ""hospitals"", ""clinic""]","[""This app used to be free and helped alot because I have no family doctor but now it wants to charge you monthly. Stupid.""]",Flo Ovulation & Period Tracker,4,5,2,Flo Ovulation & Period Tracker__cluster_15,t-frex,allmini,balanced,0
note-taking,bulletin,"[""diary"", ""blogs"", ""diaries""]","[""The latest update has caused a bug that replicates every numbered or bulletin list. It keeps on replicating until you leave the app. Right now lists are completely useless."", ""Cool app but please add some text formatting features like boldin and bulletin... very necessary please"", ""Strikethrough, bold, bulletin just add those features. It will make it better.""]",Google Keep - Notes and Lists,3,4,1,Google Keep - Notes and Lists__cluster_3,t-frex,allmini,balanced,0
device support,tablet,"[""device"", ""phone""]","[""tablet version does not allow passed accept / decline agreement. not able to use the app."", ""this is a great app on my tablet paid the $4.99 and it is faster and better surfing thank you very much......""]",1.1.1.1: Faster & Safer Internet,2,3,2,1.1.1.1: Faster & Safer Internet__cluster_19,t-frex,allmini,balanced,0
weight tracker,activity tracking,"[""weight tracker"", ""tracking"", ""multiple tracker"", ""workout tracker"", ""tracker"", ""step tracker"", ""water tracking""]","[""This app does not sync with MiFit app. Mi bands are extremely popular activity tracking bands used by much more people than garmin or fitbit.""]","HealthifyMe - Calorie Counter, Diet Plan, Trainers",7,8,4,"HealthifyMe - Calorie Counter, Diet Plan, Trainers__cluster_20",t-frex,allmini,balanced,0
web access,internet,"[""web"", ""website"", ""browser""]","[""App was broekn. Even if i had internet, my notes were not opening. Not good experience."", ""Last update has bug if connected with internet with mobile data. Accidental hanged, changed things automatically. Previous version is good but this version is bad. Update it removing. Thank you for Nice app."", ""When I open the app it cannot sync and doesn't show the notes (the internet and everything is working fine)""]",Google Keep - Notes and Lists,3,4,3,Google Keep - Notes and Lists__cluster_49,t-frex,allmini,balanced,0
help resources,help guides,"[""directions"", ""instructions""]","[""Constantly stops taking in data from Fitbit, did everything the help guides say and more. Driving me insane. Submitted a ticket and got no response either.""]",MyFitnessPal: Calorie Counter,2,3,1,MyFitnessPal: Calorie Counter__cluster_29,t-frex,allmini,balanced,0
cashback rewards,financial,"[""spending"", ""payments"", ""cash""]","[""I've never had an app tell me to come back and use it before it starts charging me account \""maintenance fees.\"" Especially one as crappily-developed and non-essential as Ibotta. Is Ibotta an investment firm? Are y'all my financial advisors? Is it real hard to maintain that $2 in my account that I'm not even allowed to take out? Then keep it. Goodbye"", ""kgvmbyx \u300a use my code for extra cash!!! This is an Awesome app. Been using it for a few years and it has earned me a lot of cash back and has helped me when times have been difficult financially! Join my team so we can make extra money! Find my FB Group Frugal Fe to find out what I use to get money back!""]",Ibotta: Save & Earn Cash Back,3,4,3,Ibotta: Save & Earn Cash Back__cluster_1,t-frex,allmini,balanced,0
camera photos,camera pic,"[""pic"", ""picture"", ""images""]","[""Slow, drains battery & eats data (without even looking at the recordings) like nobody's business so background usage has to be turned off, which makes the system far less effective. The picture quality isn't the HD quality that was advertised - closer to an early 90s 8bit computer game at times. It's also a pain in the backside that the camera picks up the gases being vented from the boiler, meaning constant notifications when the wind is blowing in a specific direction."", ""I did not take arlos paid service, so it is probably better if you purchase it. Their unpaid service stinks, only the camera picture quality is good. You can not view a video even if it was 2 minutes ago. There are other products that work better."", ""Camera pics sometimes don't come up. Have to open the cera for live view""]",Arlo,3,4,2,Arlo__cluster_31,t-frex,allmini,balanced,0
drag and drop,jumping,"[""moving"", ""drag"", ""sliding""]","[""Decent. Could be a bit simpler jumping through each option""]",Google Tasks,3,4,1,Google Tasks__cluster_41,t-frex,allmini,balanced,0
data sharing,share articles,"[""data sharing"", ""sharing""]","[""I have been using this app for 3 plus years, and the functionality to share articles from the blog has never worked. Please fix it or else just remove it and quit pretending these things can be shared. It is beyond frustrating! So frustrating, in fact, that I have considered moving to another app completely. You know this has been a problem for multiple years, right? I mean MULTIPLE years and updates.""]",MyFitnessPal: Calorie Counter,2,3,1,MyFitnessPal: Calorie Counter__cluster_15,t-frex,allmini,balanced,0
network connectivity,network connection,"[""disconnected"", ""connectivity"", ""connection process"", ""working connection"", ""stop connection"", ""connecting""]","[""This app is terrible. I find it unintuitive, the UI is not clear where to navigate in order to use key functions like setting up a new network connection. It is over encumbered with naming both your device as an entity and your home as an entity when really it is just a device on your network and doesn't need to be over complicated . Things like setting up a networks or connecting to blue tooth should be more clearly marked because it is a Bluetooth speaker that connects to a network ."", ""Purchased more nest speakers to enjoy the music from my premium subscription. But it keeps stopping randomly in the middle of music for no reason. Network connection is stable so that isn't it. Very disappointed. Update: there is a sync delay between iOS and Android devices so it was causing problems."", ""Purchased more nest speakers to enjoy the music from my premium subscription. But it keeps stopping randomly in the middle of music for no reason. Network connection is stable so that isn't it. Very disappointed.""]",Google Home,6,7,4,Google Home__cluster_46,t-frex,allmini,balanced,0
dating  make friends,instant messaging,"[""communicating"", ""conversations"", ""communicate"", ""chat"", ""messaging"", ""sms"", ""chatting""]","[""very easy to use and one of the best dating app ...and they should improve on when user online instant messaging""]",Tinder - Dating & Make Friends,7,8,3,Tinder - Dating & Make Friends__cluster_0,t-frex,allmini,balanced,0
video streaming,streaming video,"[""video playback"", ""video response"", ""video stream"", ""video frame"", ""video load"", ""video wi"", ""media playback""]","[""Streaming video is always problematic even with upgraded subscription unfortunately""]",Nest,7,8,6,Nest__cluster_15,t-frex,allmini,balanced,0
photo sharing,information sharing,"[""photo sharing"", ""share information"", ""share things"", ""share tips"", ""sharing links"", ""sharing info""]","[""Another bullying platform. This is supposed to be a way for neighbors to interact & share non- bias information but no matter what anyone posts in the general section, they are ridiculed and bashed for their statement or comments which BY THE WAY is against the use guidelines. Nobody moderates the platform and I don't see any less offenders so I don't think anything is ever done to them. Ultimately, neighbors are not getting answers and information sharing is hindered."", ""Very disappointed. The principle of community information sharing is largely bypassed or ignored as many people use it solely to advertise their own (small) business repeatedly and there seems to be no way to block individuals. Then there are the 'sponsored posts' which are repeated commercial adverts which are nothing to do with community.""]",Nextdoor: Your Neighborhood,6,7,5,Nextdoor: Your Neighborhood__cluster_6,t-frex,allmini,balanced,0
document transfer,transfer documents,"[""transferring"", ""transfer file"", ""doc transfer"", ""document transfer""]","[""Excellent! I use this school documents, pictures, etc. It has been very helpful to easily transfer documents to the computer."", ""App is easy to use and it is very easy to transfer documents between other apps.""]",CamScanner - PDF Scanner App,4,5,4,CamScanner - PDF Scanner App__cluster_20,t-frex,allmini,balanced,0
file sharing,shared pictures,"[""share files"", ""sharing""]","[""Useless. Won't accept shared pictures anymore, \""cannot be added to Google keep.\"" guess I can't rely on this garbage app anymore. \ud83d\ude15""]",Google Keep - Notes and Lists,2,3,2,Google Keep - Notes and Lists__cluster_52,t-frex,allmini,balanced,0
journaling,food journal,"[""diary"", ""journal"", ""diaries""]","[""I use this for everything I need to remember while I am out and about. I make lists all of the time. I use different colors for different things, like White is for medical and related information. Green is for recipes and herbals. Blue is for stuff my SO wants me to do, it's his favorite color. Gray is for my personal stuff, like my food journal, it was the only color left...lol. Would recommend this app to anyone and everyone!""]",ColorNote Notepad Notes,3,4,2,ColorNote Notepad Notes__cluster_19,t-frex,allmini,balanced,0
work accounts,personal accounts,"[""work accounts"", ""business account"", ""multiple accounts"", ""account""]","[""Clunky, notifications are broken, if you're in the app and actively messaging someone, some incoming messages won't be received by the app. Personal accounts are completely broken for logging into the app and joining meetings. After 6 months of use this app was consuming over 500mb of device storage"", ""App doesn't ring on incoming voice calla. I have work and personal accounts with different settings, but neither ring when I get a call. I've been through all the setting 10x times. On my phone, in the app. This is garbage. How can skype work, but this doesn't??"", ""Personal accounts don't seem to work anymore. It used to work with my 365 account, but with less features that I had in my work account. Now, I get a message that says, We couldn't find an account with that username. Try another...""]",Microsoft Teams,4,5,3,Microsoft Teams__cluster_43,t-frex,allmini,balanced,0
order verification,confirmation,"[""verify"", ""check""]","[""Schedule ahead feature is broken. I tried to schedule an order (before the restaurant had opened) and got a confirmation email with an order number, but the order never arrived at the restaurant. I had to contact support to get them to push whatever button needed to be pushed, so now I'm still getting my food, just an hour after I scheduled it. Don't offer a feature if you aren't gonna test it first, folks. Oh, wait, *customers* are the testers now, right? *sigh*"", ""Can't order, confirmation page stays in loading loop. Why asking me for address when I have an account and have used your services 12 hours ago?""]",Grubhub: Local Food Delivery & Restaurant Takeout,2,3,1,Grubhub: Local Food Delivery & Restaurant Takeout__cluster_8,t-frex,allmini,balanced,0
mental exercises,mental processing,"[""thinking"", ""mind filling""]","[""Really helpful and has definitely improves areas of my mental processing. I feel much sharper after I have played the games. Excellent \ud83d\udc4d""]",Elevate - Brain Training Games,2,3,1,Elevate - Brain Training Games__cluster_6,t-frex,allmini,balanced,0
in-car playback,vehicle,"[""car"", ""driving"", ""drives""]","[""Generally good, particularly if you can get a subscription. My problems primarily reside in Bluetooth connection with my car; since this one update, the car display doesn't update after two songs unless you pause to let it catch up (and this isn't an issue with my car, it happens with other vehicles). My second issue is when there's a disconnect about the music status; it's paused on the vehicle, and no music comes out, but the app says it's playing, and continues to play, and a connection reset"", ""This was a 5 star but recently there has been a major issue with the app. If you have an aftermarket stereo in your vehicle that has the Pandora and Spotify options. Spotify may not work on it. It just won't connect. This has been happening for at least a month. If they fix this then I'll give my 5 stars back but for now it seems stupid than an app with a link built into a radio is no longer is supported. I use Pandora. Works flawlessly. I prefer Spotify but I'll use what works best for now."", ""App won't connect to the spotify in my vehicles radio now. It worked just fine a couple of weeks ago then all the sudden won't anymore. The phone connects but spotify does not. It plays though Bluetooth but not the spotify app. Has to be a update caused it. I have a pioneer avh-2500nex head unit.""]",Spotify: Music and Podcasts,3,4,3,Spotify: Music and Podcasts__cluster_23,t-frex,allmini,balanced,0
transportation payments,public transport,"[""bus"", ""transportation""]","[""Doesn't have Opal for public transport"", ""I used to have no issues with this app, but for the last 6+ months it's a headache to top up my public transport / myki card. The app goes through this ridiculous validation loop when I try to add cash to the card where it asks for my password then wants an additional validation like a security code and none of those validation methods work. You go through the loop multiple times and then it decides to work despite it telling you it's not working."", ""Can't even use bloody public transport with this rubbish application. How naive to think big tech could replace a state service.""]",Google Pay,2,3,2,Google Pay__cluster_13,t-frex,allmini,balanced,0
connectivity,connect with,"[""connect wifi"", ""connecting"", ""connectivity""]","[""Super Love this app..so easy to transfer files and easy to connect with other cellphones and even laptop and tablet..."", ""Sometimes it fails to connect with other devices even the version is updated."", ""Cannot find any way to connect with another phone. There is no QR code option to connect, and the app gets stuck at the hot-spot page.""]",SHAREit: Share & File Manager,3,4,3,SHAREit: Share & File Manager__cluster_24,t-frex,allmini,balanced,0
share file manager,receiving files,"[""file managing"", ""file manager"", ""file through"", ""folder"", ""share file manager"", ""directory"", ""documents"", ""files between""]","[""Nice Apps for sending and receiving files and apps.."", ""Nice apps, very fast sending and receiving files.."", ""Nice apps..incredible ...so fast sending and receiving files ...very useful apps...""]",SHAREit: Share & File Manager,8,9,3,SHAREit: Share & File Manager__cluster_5,t-frex,allmini,balanced,0
education services,educating,"[""learners"", ""tutor""]","[""It's awesome to use, reliable & educating too""]",Trust: Crypto & Bitcoin Wallet,2,3,2,Trust: Crypto & Bitcoin Wallet__cluster_3,t-frex,allmini,balanced,0
delivery management,delivery manager,"[""logistics"", ""parcel"", ""deliveries"", ""ex delivery""]","[""FedEx Dilivery Manager does not work. I have reported this issue since 2021. I installed to provide instructions to hold my package, and/or use functions of delivery manager. I have spent many hours with many agents reporting the issue. Each time it ends with a tech agent saying \""we are aware of the issue. Don't use our app, use the web page\"". What kind of company knowingly does not fix glitches in their app for over a year? Do they regard credit card info the same way? Not recommended!"", ""I wish the delivery manager would work. 15+ times and a call to support couldn't fix this issue. It's a shame."", ""Settings for Delivery Manager update successfully in the app. Then, next time you open the app they are back to the original incorrect settings. For my home, FedEx currently misroutes every package because my zip code is shared with other towns. The community with the central post office being more than 10 miles away and basically a separate community and a separate and distinct geographical area. And then customer support line doesn't help because \""recipients can't change the destination\"".""]",FedEx Mobile,4,5,3,FedEx Mobile__cluster_2,t-frex,allmini,balanced,0
ads,advertisements,"[""advertising"", ""ads""]","[""Too much advertisements.. Too Boring app as compare to another music app"", ""Too much advertisements, but other than tha it's good app."", ""Worst app ever. We listen to advertisements more than the songs.""]",JioSaavn - Music & Podcasts,2,3,2,JioSaavn - Music & Podcasts__cluster_22,t-frex,allmini,balanced,0
cam scanner,camera capture,"[""recorder"", ""cam scanner"", ""capture"", ""auto capture"", ""capturing"", ""system camera""]","[""Works rather well, however the camera capture accuracy needs significant improvement. I tested several times on different papers, books and documents and there were quite a few mistakes that were present.""]","Adobe Scan: PDF Scanner, OCR",6,7,4,"Adobe Scan: PDF Scanner, OCR__cluster_72",t-frex,allmini,balanced,0
email communication,email exchanges,"[""mail"", ""email mining"", ""emails""]","[""Terrible, restrictive customer service and app. My account was locked during a password reset; it's still not fixed 2 months later with laggy customer support - after several email exchanges. I just want to buy a yoga mat. If you do too, use Ebay and avoid this clunker of an app/organization.""]",Mercari: Your Marketplace,3,4,2,Mercari: Your Marketplace__cluster_0,t-frex,allmini,balanced,0
password sharing,share password,"[""share button"", ""share item"", ""share over"", ""sharing""]","[""This has been a life-(& cyber security) saver for me. The individual use features are very easy to learn and use. With our family account, I get confused sometimes how to share passwords.""]",LastPass Password Manager,4,5,1,LastPass Password Manager__cluster_17,t-frex,allmini,balanced,0
ride share,ride sharing,"[""ride share"", ""riding"", ""cycling"", ""riders""]","[""The worst ride sharing app for drivers. Here is why: (1) During the streak time, they don't give you ride requests. (2) If stop somewhere to wait for new requests, they automatically put you offline and break the streak bonus. (3) The navigation often takes you the pick up places where you can mark \""arrived\"" but later they will say you marked that way too far away from their assigned location. Therefore, you're not eligible for No-Show or cancellation fee. (5) NO DRIVER'S CALL SUPPORT!"", ""Being with Lyft for about 7 months now in Atlanta GA. I have a 5 stars rate. I dont understand how I can get paid $16.00 for an hour trip while I'm in a rental cause I had an accident in my personal vehicle. Now I get -187.00 in my bank acct cause I had to get me a regular job and do it part time cause no matter how much money you make ride sharing you still and independent contractor who can't prove your income I'm done with Lyft. Ps Uber pays better but the rental options are not convenient.""]",Lyft Driver,4,5,2,Lyft Driver__cluster_7,t-frex,allmini,balanced,0
device compatibility,to device,"[""tablet"", ""laptop"", ""notebook"", ""phone"", ""devices""]","[""Does not sync properly and cannot be fixed. Also cannot be backdated for tracking steps and syncing to device""]",MyFitnessPal: Calorie Counter,5,6,3,MyFitnessPal: Calorie Counter__cluster_9,t-frex,allmini,balanced,0
chat features,private chat,"[""clear chat"", ""chatting"", ""chat with"", ""family chat"", ""bubble chat"", ""group chat""]","[""I have a problem I actually have two devices where I run starmaker is there any way that we can get private chats or any chats or messagws in both devices I get confused because of it""]",StarMaker: Sing Karaoke Songs,6,7,4,StarMaker: Sing Karaoke Songs__cluster_7,t-frex,allmini,balanced,0
device integration,with device,"[""tablet"", ""platform"", ""device""]","[""2/19/22--been using for years. App is ok when synching with device, but synching is always an issue. I've been getting awards for huge amount of steps that I've never taken, lol. Device says one thing, app says another. My device (3rd one) is dying and I won't be buying another one."", ""App keeps being unable to sync with device. Have to reinstall the app every couple of days. Also does not sync settings with the device even when it says it has. Device works fine app is garbage."", ""Problem Syncing with device""]",Fitbit,3,4,3,Fitbit__cluster_6,t-frex,allmini,balanced,0
referral program,refer people,"[""referring"", ""referral""]","[""When I first stared using this app I found fantastic deals and things were available Not anymore No now the items are out of stock or they just aren't in my area ESPECIALLY the FAP items Now the app wants you to refer people & the referred to spend $35 to unlock the FAP items I refered someone and it didn't unlock anything Amanda G. Told me \""Unfortunately it looks like your invitee did not sign up through your unique referral link and did not use your unique referral code\"" So I guess I'm sol"", ""Use to love this app and refer people all the time, now I can't even load to add the offers..... it just freezes..."", ""Not worth your time. The rebates are small and you have to have a balance of at least $20 before you can withdraw. They encourage you to refer people by sharing your referral code with others many ways (including via your social)and when you do and you start getting referrals they lock your account and investigate why you have so many referrals. Then if they think any of the referrals aren't legit they close your account completely. Doesn't matter that you have zero control over what others do""]",Ibotta: Save & Earn Cash Back,2,3,2,Ibotta: Save & Earn Cash Back__cluster_4,t-frex,allmini,balanced,0
time saving,data save,"[""save"", ""time save""]","[""Even after reporting this error 2 years ago I still have the tile app telling me data saver is on every time I open it. So much for \""passing it on to our developers\""""]",Tile,2,3,1,Tile__cluster_13,t-frex,allmini,balanced,0
calorie counting,ories counting,"[""count"", ""e counting"", ""counters""]","[""Omo!!! Amazing app , amazing creation over all having all things , diet chart , workouts , calories counting and many more ......loved it !!!!"", ""Amazing app for calories counting, sleep , activities tracking."", ""No Android watch app for water tracking and calories counting. Atleast you could provide that on watch. Otherwise it's fine.""]","HealthifyMe - Calorie Counter, Diet Plan, Trainers",3,4,2,"HealthifyMe - Calorie Counter, Diet Plan, Trainers__cluster_4",t-frex,allmini,balanced,0
personal hygiene,bathing,"[""shower"", ""wash""]","[""Loved the stuff I purchased! Good quality at a great price! Fast shipping! Large variety of products. I've purchased made multiple purchases over the years. I love their bathing suits, clothes, house decor, kids clothes etc... My 7 yr old granddaughter downloaded it to her iPad & has a list of fidget toys, make brushes, novelty items & some clothes. She loves SheIn too!! You will love whatever your purchase."", ""Horrible I order two bathing suits didn't receive them didn't get my money back"", ""Great deals especially bathing suits, If you have a hard time finding a bathing suit either your size or in your price range this is the place, not only are they super cute they are super affordable 10/10 recommend""]",SHEIN-Fashion Shopping Online,2,3,2,SHEIN-Fashion Shopping Online__cluster_0,t-frex,allmini,balanced,0
team collaboration,zoom over teams,"[""team coordination"", ""team building"", ""teams"", ""microsoft teams"", ""connecting teams"", ""work teams""]","[""it cuts out a lot more than I would like, I do prefer zoom over teams""]",Microsoft Teams,6,7,1,Microsoft Teams__cluster_20,t-frex,allmini,balanced,0
photo capture,photo taking,"[""image"", ""blur"", ""pic"", ""photos"", ""shutter"", ""picture take"", ""picturing""]","[""Pls allow user to disable auto photo taking!!!! Otherwise a speedy and easy to use app""]","Adobe Scan: PDF Scanner, OCR",7,8,6,"Adobe Scan: PDF Scanner, OCR__cluster_6",t-frex,allmini,balanced,0
voice input,phone mic,"[""mic"", ""microphone""]","[""Best app ever I solve my math and physics questions with this app and there no ads in brainly app that is too good and we can speck also with phone mic do install this app\ud83e\udd1f\ud83e\udd1f""]",Brainly – Get Homework Help,2,3,2,Brainly – Get Homework Help__cluster_26,t-frex,allmini,balanced,0
document management,office documents,"[""page documents"", ""documentizing"", ""doc"", ""document making"", ""document cloud"", ""documents""]","[""Great app! Helps me scan my office documents on the go. Probably the best app on the market.""]","Adobe Scan: PDF Scanner, OCR",6,7,5,"Adobe Scan: PDF Scanner, OCR__cluster_8",t-frex,allmini,balanced,0
music mixing,mix songs,"[""mixing"", ""mixes"", ""dj mix""]","[""Sometimes mix songs up but really really helpful""]",Shazam: Music Discovery,3,4,2,Shazam: Music Discovery__cluster_8,t-frex,allmini,balanced,0
reminder alerts,notification,"[""reminder"", ""warning"", ""alarm""]","[""I love this app! My favorite things about it are that the widget shows the contents of your note and that the notes can be pinned to notifications. Helps me stay organized!"", ""Great app for just notes! I love that I can put multiple widgets on my screen if desired or set it up to get to it easily from the notification bar. This app is my brain, I can't function without my notes and lists right at hand due to memory issues. This is the most user friendly notes app I have found and have been using it for a few years. It always transfers with all the information to my new phones also!"", ""Literally just downloaded it and instantly love that you can pin it to the notification bar! I have ADHD to hopefully this will help.""]",ColorNote Notepad Notes,3,4,2,ColorNote Notepad Notes__cluster_16,t-frex,allmini,balanced,0
sleep assistance,sleep troubles,"[""sleep anxiety"", ""sleep stories"", ""sleep tracks"", ""sleep guides"", ""sleep story"", ""sleep music"", ""waking"", ""sleepscape"", ""sleepcast""]","[""I wanted to sleep more easily, so I decided to download it. But now it's saying I need to give it all my life savings just to sleep, please stop feeding off of people's sleep troubles and make it intirely free.""]",Headspace: Mindful Meditation,9,10,3,Headspace: Mindful Meditation__cluster_1,t-frex,allmini,balanced,0
in-app messaging,communication,"[""communicate"", ""messaging""]","[""It is a very good app. Shopee Pte Ltd is a Singaporean multinational technology company which focuses mainly on e-commerce. Headquartered under Sea Group, Shopee was first launched in Singapore in 2015, and later expanded its reach abroad. Shopee is the leading e-commerce online shopping platform in Southeast Asia and Taiwan. There is no mediator between the customer & the seller. Hence, direct communication & transaction with no commission charge."", ""Misleading title, it still has shipping fee. Haven't tried Shopee Pay but been purchasing from this e-commerce platform for the longest time with either debit, credit, or COD. Better courier handling and communication than Lazada. Also a seller here and courier can sometimes have hiccups but overall experience is ok. UI interface is also easy to understand and updated every event/ campaign. Difference with the campaigns (as a seller), you're only eligible if you're popular or more than 500 buys"", ""Amazing app. Very organized and very cheap products. Fast and easy communication and transactions. There are little glitches from time to time so 4/5 for me.""]",Shopee PH: Shop on 3.3 - 3.15,2,3,2,Shopee PH: Shop on 3.3 - 3.15__cluster_18,t-frex,allmini,balanced,0
server connection,connecting server,"[""server connect"", ""server change"", ""data connection""]","[""Work good but sometimes is not connecting server""]",1.1.1.1: Faster & Safer Internet,3,4,3,1.1.1.1: Faster & Safer Internet__cluster_11,t-frex,allmini,balanced,0
language learning,learning languages,"[""languages"", ""language learning""]","[""Nice app for learning languages"", ""This is not an app for leaning languages: people do not respond or do not care about learning languages. Moreover the \""speed\"" of the apps reminds me internet's first days: 10+ seconds to load a screen \ud83e\udd2e"", ""Good in communicating and learning languages""]",Speaky - Language Exchange,2,3,2,Speaky - Language Exchange__cluster_3,t-frex,allmini,balanced,0
language exchange,communicating,"[""chat"", ""messaging"", ""messages"", ""chatting"", ""telegram""]","[""Good in communicating and learning languages""]",Speaky - Language Exchange,5,6,3,Speaky - Language Exchange__cluster_1,t-frex,allmini,balanced,0
file management,download,"[""loading"", ""update""]","[""OWEMJIII A MUST DOWNLOAD. IT HAS A FAST SHARING FILES. THIS APP IS NEVER LET YOU DOWN. AND SUPRISINGLY, IT HAS NOW A FREE LOAD SYSTEM. REALLY MUST TRY TO DOWNLOAD"", ""Too many ads. Downloading of other apps w/o user permission."", ""Nagdodownload mag isa ng mga games gawa ng shareit bulok HAHAHAU""]",SHAREit: Share & File Manager,2,3,2,SHAREit: Share & File Manager__cluster_23,t-frex,allmini,balanced,0
file management,directory,"[""folder"", ""files""]","[""WHAT YOU HaVE dONE WITH THE DIRECTORY?!! \ud83d\ude21\ud83e\udd2c\ud83e\udd2c\ud83e\udd2c AFTER YOU LAST UPDATE I CANT FIND THE EXPORTED PDF FILES. WITHOUT THIS FUNCTION YOUR APP IS USELESS""]",CamScanner - PDF Scanner App,2,3,2,CamScanner - PDF Scanner App__cluster_24,t-frex,allmini,balanced,0
live chat,reply chat,"[""chat"", ""ee chat"", ""live chat"", ""chatting""]","[""I love shopee! Edited from 3/7/2020 (5star rating) Present: 18/1/2020 (1star rating) 1. Shopee apps started getting slow & hang 2. The seller in shopee mostly getting useless, unresponsible, rude by sending the wrong item, not respond request and not reply chat. 3. My acc got suspended because I lost patience with the seller. 4. Its so hard to request return/refund when the seller send the wrong item (without acknowledged to me 1st) & shopee keep asking me to provide EVIDENCE!!""]",Shopee MY: 3.15 Consumer Day,4,5,1,Shopee MY: 3.15 Consumer Day__cluster_26,t-frex,allmini,balanced,0
application creation,meta apps,"[""program"", ""application"", ""software""]","[""It is a bad app compared with other Meta apps""]",Creator Studio,3,4,1,Creator Studio__cluster_9,t-frex,allmini,balanced,0
family plan,family membership,"[""family account"", ""family package"", ""family plan"", ""family info"", ""family pass""]","[""Trying to cancel auto renew but it doesn't work. Also want to cancel Family membership but can't do that either.""]",LastPass Password Manager,5,6,4,LastPass Password Manager__cluster_18,t-frex,allmini,balanced,0
code sharing,programmers,"[""code"", ""microsoft"", ""programming""]","[""It was all going great, until the \""genius\"" who made the recent update of the app, screw everything for me I lost all my archive notes that I had. I lost very important things that I save. So thank you so much for all your ineptitude, incompetence and your lack of work. Thank you so much Google Keep for ruined my archive notes. Who ever is on this team, I'm now confident enough to say that you all are without a doubt the worst programmers ever. Keep up failing. \ud83d\udcaa\ud83c\udffe\ud83d\udc4d\ud83c\udffe""]",Google Keep - Notes and Lists,3,4,3,Google Keep - Notes and Lists__cluster_13,t-frex,allmini,balanced,0
